source,article_count
Supply Chain Digital Magazine,7
Supply Chain Brain,5
digitimes,4
Electrek,3
Reuters,3
Teslarati,3
Yahoo Finance,3
Farmonaut,2
Not a Tesla App,2
electrive.com,2
Charged EVs,1
CleanTechnica,1
DC Velocity,1
CoinCentral,1
Discovery Alert,1
DHL,1
CNBC,1
CBT News,1
ACKO Drive,1
ArenaEV,1
Boston University,1
Business and Human Rights Centre,1
Assembly Magazine,1
Bloomberg.com,1
Interesting Engineering,1
Intellectia AI,1
Heavy Duty Trucking,1
Global Times,1
Global Investigations Review,1
GetTransport.com,1
FreightWaves,1
Fortune,1
Moomoo,1
Manufacturing Today,1
Logistics Viewpoints,1
Procurement Magazine,1
Korea JoongAng Daily,1
Jon Peddie Research,1
Kellogg Insight,1
Just Auto,1
TechSpot,1
TechCrunch,1
S&P Global,1
Stocktwits,1
Thomasnet,1
The Business Download |,1
The Cool Down,1
The Verge,1
Trucking Dive,1
Transport Topics,1
Tom's Hardware,1
WSJ,1
alcircle,1
act-news.com,1
firstonline.info,1
supercarblondie.com,1
